Unnamed: 0_x,광역시도,시군,pop,moon,hong,ahn,ID,rate_moon,rate_hong,rate_ahn,Unnamed: 0_y,y,x,moon_vs_hong,moon_vs_ahn,ahn_vs_hong
64,대전광역시,동구,143823.0,57580.0,33015.0,34729.0,대전 동구,40.03532119341134,22.955299221960328,24.1470418500518,148,14,5,17.080021971451014,15.888279343359542,1.1917426280914718
65,대전광역시,중구,157397.0,62115.0,37657.0,37504.0,대전 중구,39.46390337808218,23.924852443185067,23.82764601612483,159,15,5,15.539050934897112,15.636257361957348,-0.09720642706023597
66,대전광역시,서구,307774.0,133604.0,59593.0,70732.0,대전 서구,43.409774704815874,19.362584233885904,22.98179833254271,169,16,4,24.04719047092997,20.427976372273164,3.619214098656805
67,대전광역시,유성구,218087.0,103313.0,35445.0,47081.0,대전 유성,47.37237891300261,16.25268814739072,21.588173527078645,158,15,4,31.119690765611892,25.78420538592397,5.335485379687924
68,대전광역시,대덕구,118816.0,47933.0,25666.0,28723.0,대전 대덕,40.34220980339348,21.601467815782385,24.174353622407757,137,13,5,18.740741987611095,16.167856180985723,2.572885806625372
69,울산광역시,중구,157051.0,56657.0,47625.0,26458.0,울산 중구,36.075542339749504,30.324544256324376,16.846756786012186,165,15,11,5.750998083425127,19.228785553737318,-13.47778747031219
70,울산광역시,남구,219569.0,80662.0,63331.0,39040.0,울산 남구,36.73651562834462,28.843324877373398,17.780287745537848,166,15,12,7.893190750971222,18.956227882806772,-11.06303713183555
71,울산광역시,동구,109054.0,44931.0,23701.0,19290.0,울산 동구,41.20068956663671,21.733269756267536,17.688484603957672,155,14,12,19.467419810369176,23.51220496267904,-4.0447851523098635
72,울산광역시,북구,122933.0,52058.0,26596.0,20115.0,울산 북구,42.34664410695257,21.63454890062066,16.362571482026794,144,13,12,20.712095206331906,25.984072624925773,-5.271977418593867
73,울산광역시,울주군,136353.0,48486.0,42349.0,23617.0,울산 울주,35.55917361554201,31.05835588509237,17.32048433111116,154,14,11,4.500817730449636,18.238689284430848,-13.737871553981211
74,세종특별자치시,세종특별자치시,152801.0,77767.0,23211.0,32010.0,세종,50.894300429971004,15.190345612921382,20.94881578000144,136,13,4,35.70395481704962,29.945484649969565,5.758470167080057
75,경기도,수원시장안구,190917.0,81392.0,37143.0,43344.0,수원 장안,42.632138573306726,19.455051147881015,22.70305944468015,101,10,6,23.17708742542571,19.929079128626576,3.248008296799135
76,경기도,수원시권선구,222078.0,95263.0,42801.0,51061.0,수원 권선,42.89618962706797,19.272958149839244,22.9923720494601,100,10,5,23.623231477228725,19.903817577607867,3.7194138996208572
77,경기도,수원시팔달구,123458.0,49814.0,27782.0,28228.0,수원 팔달,40.34894458034311,22.503199468645207,22.864455928331903,114,11,6,17.8457451116979,17.484488652011205,0.36125645968669673
78,경기도,수원시영통구,220307.0,105181.0,33354.0,46872.0,수원 영통,47.74292237650188,15.139782213002764,21.27576518222299,90,9,7,32.60314016349912,26.46715719427889,6.135982969220226
79,경기도,성남시수정구,149414.0,63867.0,28395.0,36752.0,성남 수정,42.74499042927704,19.004243243605018,24.59742728258396,79,8,8,23.74074718567202,18.147563146693077,5.593184038978944
80,경기도,성남시중원구,146801.0,62729.0,27896.0,36512.0,성남 중원,42.73063534989544,19.002595350167915,24.871765178711318,68,7,7,23.72803999972752,17.85887017118412,5.869169828543402
81,경기도,성남시분당구,338076.0,139853.0,71332.0,74040.0,성남 분당,41.36732569008152,21.099397768549082,21.900401093245307,78,8,7,20.26792792153244,19.466924596836215,0.8010033246962251
82,경기도,의정부시,270404.0,110580.0,57027.0,65003.0,의정부,40.894365467966445,21.0895548882413,24.039215396221948,8,1,7,19.804810579725146,16.855150071744497,2.9496605079806493
83,경기도,안양시만안구,167995.0,70454.0,35189.0,38671.0,안양 만안,41.93815292121789,20.946456739783923,23.019137474329593,31,4,3,20.99169618143397,18.9190154468883,2.0726807345456706
84,경기도,안양시동안구,230674.0,101278.0,43072.0,51966.0,안양 동안,43.905251567146706,18.67223874385496,22.527896511960602,42,5,3,25.233012823291745,21.377355055186104,3.8556577681056403
86,경기도,광명시,218795.0,97959.0,39081.0,51958.0,광명,44.772046893210536,17.86192554674467,23.747343403642677,32,4,4,26.910121346465868,21.02470348956786,5.885417856898009
